N,n_bin,P,p_bin,K,k_bin,temperature,temp_bin,humidity,humidity_bin,pH,pH_bin,rainfall,rainfall_bin,label,,,,,Range,,,33 percentile,66 percentile,Categorical Bins (for NB),,
54,Medium,77,High,85,High,17.14,Low,17.07,Low,7.83,High,83.75,Low,chickpea,,,,,,,,,,,,
43,Medium,68,High,81,High,17.48,Low,17.93,Low,6.76,High,78.92,Low,chickpea,,,,,,,,,,,,
28,Low,76,High,82,High,20.57,Low,14.26,Low,6.65,High,83.76,Low,chickpea,,,,,,,,,,,,
42,Medium,79,High,85,High,17.22,Low,15.82,Low,6.13,Medium,76.58,Low,chickpea,,,,,,,,,,,,
32,Medium,60,High,83,High,19.69,Low,19.44,Low,8.83,High,91.76,Medium,chickpea,,,,,,,,,,,,
22,Low,78,High,76,High,17.85,Low,19.09,Low,8.62,High,76.32,Low,chickpea,,,,,,,,,,,,
31,Low,79,High,75,High,18.82,Low,16.11,Low,8.20,High,89.73,Medium,chickpea,,,,,,,,,,,,
28,Low,58,Medium,81,High,17.48,Low,16.54,Low,6.18,Medium,93.35,Medium,chickpea,,,,,,,,,,,,
57,Medium,58,Medium,77,High,18.73,Low,17.58,Low,7.98,High,81.20,Low,chickpea,,,,,,,,,,,,
49,Medium,55,Medium,78,High,18.66,Low,16.18,Low,7.86,High,81.71,Low,chickpea,,,,,,,,,,,,
46,Medium,76,High,77,High,18.24,Low,19.69,Low,6.97,High,83.75,Low,chickpea,,,,,,,,,,,,
54,Medium,61,High,77,High,18.81,Low,15.22,Low,6.21,Medium,77.54,Low,chickpea,,,,,,,,,,,,
38,Medium,60,High,76,High,18.65,Low,17.81,Low,8.87,High,77.93,Low,chickpea,,,,,,,,,,,,
59,Medium,55,Medium,79,High,20.37,Low,16.90,Low,8.77,High,82.25,Low,chickpea,,,,,,,,,,,,
36,Medium,76,High,75,High,18.38,Low,16.64,Low,8.74,High,70.52,Low,chickpea,,,,,,,,,,,,
57,Medium,68,High,81,High,17.17,Low,17.30,Low,8.08,High,72.79,Low,chickpea,,,,,,,,,,,,
35,Medium,66,High,81,High,19.37,Low,15.77,Low,6.14,Medium,85.25,Low,chickpea,,,,,,,,,,,,
35,Medium,64,High,78,High,17.93,Low,14.27,Low,7.50,High,85.37,Low,chickpea,,,,,,,,,,,,
52,Medium,60,High,79,High,19.45,Low,18.23,Low,8.38,High,75.63,Low,chickpea,,,,,,,,,,,,
27,Low,76,High,83,High,19.13,Low,14.92,Low,6.29,Medium,89.62,Medium,chickpea,,,,,,,,,,,,
57,Medium,60,High,84,High,19.10,Low,17.26,Low,6.59,High,75.49,Low,chickpea,,,,,,,,,,,,
52,Medium,68,High,78,High,17.49,Low,16.96,Low,6.90,High,86.05,Low,chickpea,,,,,,,,,,,,
43,Medium,79,High,79,High,19.41,Low,18.98,Low,7.81,High,80.25,Low,chickpea,,,,,,,,,,,,
44,Medium,74,High,85,High,20.19,Low,19.64,Low,7.15,High,78.26,Low,chickpea,,,,,,,,,,,,
24,Low,55,Medium,78,High,17.30,Low,15.15,Low,6.65,High,75.58,Low,chickpea,,,,,,,,,,,,
29,Low,77,High,75,High,17.50,Low,15.48,Low,7.78,High,72.94,Low,chickpea,,,,,,,,,,,,
20,Low,60,High,78,High,18.17,Low,14.70,Low,6.36,Medium,90.78,Medium,chickpea,,,,,,,,,,,,
56,Medium,67,High,78,High,17.57,Low,16.72,Low,8.26,High,77.82,Low,chickpea,,,,,,,,,,,,
37,Medium,66,High,85,High,20.93,Low,18.91,Low,6.46,Medium,78.07,Low,chickpea,,,,,,,,,,,,
49,Medium,71,High,76,High,19.71,Low,17.64,Low,6.61,High,85.58,Low,chickpea,,,,,,,,,,,,
59,Medium,69,High,80,High,19.08,Low,17.87,Low,8.17,High,69.41,Low,chickpea,,,,,,,,,,,,
20,Low,79,High,77,High,18.55,Low,16.03,Low,7.65,High,76.33,Low,chickpea,,,,,,,,,,,,
24,Low,56,Medium,85,High,18.20,Low,17.41,Low,6.55,Medium,80.64,Low,chickpea,,,,,,,,,,,,
51,Medium,72,High,75,High,18.89,Low,14.99,Low,7.10,High,80.11,Low,chickpea,,,,,,,,,,,,
57,Medium,73,High,85,High,18.49,Low,14.72,Low,7.36,High,91.95,Medium,chickpea,,,,,,,,,,,,
22,Low,64,High,82,High,19.49,Low,17.17,Low,6.47,Medium,87.51,Low,chickpea,,,,,,,,,,,,
52,Medium,73,High,79,High,17.26,Low,18.75,Low,7.84,High,94.00,Medium,chickpea,,,,,,,,,,,,
29,Low,75,High,75,High,19.62,Low,18.71,Low,7.06,High,88.46,Medium,chickpea,,,,,,,,,,,,
44,Medium,59,High,78,High,20.68,Low,19.85,Low,7.60,High,84.78,Low,chickpea,,,,,,,,,,,,
41,Medium,69,High,82,High,20.02,Low,16.63,Low,6.72,High,68.98,Low,chickpea,,,,,,,,,,,,
52,Medium,56,Medium,85,High,20.12,Low,14.44,Low,6.82,High,88.68,Medium,chickpea,,,,,,,,,,,,
34,Medium,76,High,80,High,20.66,Low,15.85,Low,7.99,High,65.24,Low,chickpea,,,,,,,,,,,,
42,Medium,74,High,83,High,19.26,Low,14.28,Low,7.55,High,65.78,Low,chickpea,,,,,,,,,,,,
34,Medium,71,High,79,High,17.93,Low,15.86,Low,7.73,High,74.64,Low,chickpea,,,,,,,,,,,,
27,Low,73,High,79,High,19.16,Low,15.84,Low,7.35,High,82.70,Low,chickpea,,,,,,,,,,,,
30,Low,70,High,79,High,20.27,Low,19.97,Low,7.31,High,69.64,Low,chickpea,,,,,,,,,,,,
57,Medium,57,Medium,75,High,17.09,Low,18.25,Low,7.79,High,87.27,Low,chickpea,,,,,,,,,,,,
27,Low,79,High,82,High,17.07,Low,17.54,Low,6.31,Medium,70.87,Low,chickpea,,,,,,,,,,,,
32,Medium,71,High,85,High,20.63,Low,14.44,Low,6.40,Medium,92.07,Medium,chickpea,,,,,,,,,,,,
31,Low,76,High,82,High,20.82,Low,17.85,Low,7.60,High,79.21,Low,chickpea,,,,,,,,,,,,
33,Medium,75,High,84,High,19.46,Low,18.73,Low,7.22,High,68.81,Low,chickpea,,,,,,,,,,,,
47,Medium,80,High,77,High,17.18,Low,16.43,Low,7.56,High,72.85,Low,chickpea,,,,,,,,,,,,
54,Medium,62,High,80,High,17.49,Low,16.39,Low,7.49,High,79.46,Low,chickpea,,,,,,,,,,,,
47,Medium,79,High,78,High,17.48,Low,14.76,Low,6.61,High,65.11,Low,chickpea,,,,,,,,,,,,
35,Medium,57,Medium,83,High,19.48,Low,17.45,Low,7.48,High,80.50,Low,chickpea,,,,,,,,,,,,
53,Medium,73,High,77,High,19.71,Low,18.10,Low,7.33,High,73.64,Low,chickpea,,,,,,,,,,,,
45,Medium,61,High,78,High,19.49,Low,16.06,Low,6.49,Medium,81.53,Low,chickpea,,,,,,,,,,,,
37,Medium,78,High,79,High,19.95,Low,14.83,Low,7.79,High,88.68,Medium,chickpea,,,,,,,,,,,,
30,Low,75,High,81,High,19.42,Low,16.80,Low,6.41,Medium,68.50,Low,chickpea,,,,,,,,,,,,
37,Medium,55,Medium,82,High,19.46,Low,18.02,Low,8.42,High,78.45,Low,chickpea,,,,,,,,,,,,
53,Medium,65,High,76,High,20.19,Low,16.42,Low,8.72,High,77.34,Low,chickpea,,,,,,,,,,,,
22,Low,60,High,85,High,18.84,Low,14.74,Low,7.81,High,94.78,Medium,chickpea,,,,,,,,,,,,
60,Medium,61,High,78,High,20.71,Low,19.84,Low,6.32,Medium,94.04,Medium,chickpea,,,,,,,,,,,,
42,Medium,67,High,77,High,18.99,Low,15.94,Low,7.11,High,78.70,Low,chickpea,,,,,,,,,,,,
39,Medium,76,High,76,High,19.97,Low,15.57,Low,8.14,High,69.16,Low,chickpea,,,,,,,,,,,,
35,Medium,63,High,76,High,17.82,Low,17.61,Low,7.71,High,90.82,Medium,chickpea,,,,,,,,,,,,
30,Low,65,High,82,High,20.71,Low,15.28,Low,7.10,High,76.78,Low,chickpea,,,,,,,,,,,,
57,Medium,56,Medium,78,High,17.34,Low,18.76,Low,8.86,High,67.95,Low,chickpea,,,,,,,,,,,,
48,Medium,65,High,78,High,17.44,Low,14.34,Low,7.86,High,73.09,Low,chickpea,,,,,,,,,,,,
36,Medium,56,Medium,83,High,18.90,Low,19.76,Low,7.45,High,69.10,Low,chickpea,,,,,,,,,,,,
40,Medium,58,Medium,75,High,18.59,Low,14.78,Low,7.17,High,89.61,Medium,chickpea,,,,,,,,,,,,
49,Medium,69,High,82,High,18.32,Low,15.36,Low,7.26,High,81.79,Low,chickpea,,,,,,,,,,,,
2,Low,24,Low,38,Medium,24.56,Medium,91.64,High,5.92,Low,111.97,Medium,pomegranate,,,,,,,,,,,,
6,Low,18,Low,37,Medium,19.66,Low,89.94,Medium,5.94,Low,108.05,Medium,pomegranate,,,,,,,,,,,,
8,Low,26,Medium,36,Medium,18.78,Low,87.40,Medium,6.80,High,102.52,Medium,pomegranate,,,,,,,,,,,,
37,Medium,18,Low,39,Medium,24.15,Medium,94.51,High,6.42,Medium,110.23,Medium,pomegranate,,,,,,,,,,,,
0,Low,27,Medium,38,Medium,22.45,Low,89.90,Medium,6.74,High,109.39,Medium,pomegranate,,,,,,,,,,,,
31,Low,25,Low,38,Medium,24.96,Medium,92.41,High,6.50,Medium,109.42,Medium,pomegranate,,,,,,,,,,,,
21,Low,21,Low,38,Medium,22.55,Low,89.33,Medium,6.33,Medium,104.90,Medium,pomegranate,,,,,,,,,,,,
6,Low,30,Medium,40,Medium,22.77,Low,91.45,High,6.36,Medium,106.97,Medium,pomegranate,,,,,,,,,,,,
25,Low,27,Medium,41,Medium,19.20,Low,94.28,High,6.92,High,108.04,Medium,pomegranate,,,,,,,,,,,,
15,Low,11,Low,38,Medium,23.13,Low,92.68,High,6.63,High,109.39,Medium,pomegranate,,,,,,,,,,,,
14,Low,5,Low,36,Medium,24.93,Medium,85.19,Medium,5.83,Low,104.77,Medium,pomegranate,,,,,,,,,,,,
16,Low,10,Low,41,Medium,24.77,Medium,85.64,Medium,6.74,High,105.76,Medium,pomegranate,,,,,,,,,,,,
36,Medium,7,Low,37,Medium,19.87,Low,86.36,Medium,5.78,Low,108.32,Medium,pomegranate,,,,,,,,,,,,
4,Low,20,Low,41,Medium,24.27,Medium,93.80,High,6.54,Medium,104.54,Medium,pomegranate,,,,,,,,,,,,
29,Low,22,Low,40,Medium,23.63,Medium,89.73,Medium,6.15,Medium,107.68,Medium,pomegranate,,,,,,,,,,,,
16,Low,15,Low,42,Medium,19.68,Low,89.09,Medium,6.89,High,108.55,Medium,pomegranate,,,,,,,,,,,,
18,Low,27,Medium,41,Medium,22.37,Low,92.31,High,7.18,High,104.82,Medium,pomegranate,,,,,,,,,,,,
11,Low,18,Low,42,Medium,21.58,Low,94.88,High,5.94,Low,102.86,Medium,pomegranate,,,,,,,,,,,,
5,Low,15,Low,38,Medium,18.26,Low,88.17,Medium,5.71,Low,108.08,Medium,pomegranate,,,,,,,,,,,,
18,Low,23,Low,44,Medium,23.71,Medium,89.62,Medium,6.18,Medium,105.65,Medium,pomegranate,,,,,,,,,,,,
9,Low,8,Low,40,Medium,22.49,Low,89.92,Medium,6.55,Medium,111.66,Medium,pomegranate,,,,,,,,,,,,
40,Medium,27,Medium,45,Medium,21.66,Low,94.79,High,5.89,Low,112.43,Medium,pomegranate,,,,,,,,,,,,
22,Low,23,Low,44,Medium,20.13,Low,89.32,Medium,6.14,Medium,107.34,Medium,pomegranate,,,,,,,,,,,,
9,Low,16,Low,39,Medium,18.41,Low,91.12,High,6.10,Low,105.18,Medium,pomegranate,,,,,,,,,,,,
12,Low,29,Medium,40,Medium,19.68,Low,89.75,Medium,6.59,High,111.28,Medium,pomegranate,,,,,,,,,,,,
0,Low,17,Low,42,Medium,23.20,Low,91.19,High,6.86,High,109.09,Medium,pomegranate,,,,,,,,,,,,
2,Low,21,Low,44,Medium,18.92,Low,87.31,Medium,6.57,Medium,102.80,Medium,pomegranate,,,,,,,,,,,,
28,Low,6,Low,40,Medium,22.11,Low,91.34,High,6.77,High,106.87,Medium,pomegranate,,,,,,,,,,,,
8,Low,23,Low,44,Medium,18.47,Low,89.69,Medium,7.13,High,108.48,Medium,pomegranate,,,,,,,,,,,,
29,Low,16,Low,36,Medium,19.81,Low,88.93,Medium,5.74,Low,102.86,Medium,pomegranate,,,,,,,,,,,,
17,Low,18,Low,43,Medium,24.49,Medium,90.84,High,5.84,Low,103.20,Medium,pomegranate,,,,,,,,,,,,
34,Medium,21,Low,42,Medium,18.76,Low,89.93,Medium,6.65,High,111.02,Medium,pomegranate,,,,,,,,,,,,
21,Low,23,Low,42,Medium,19.54,Low,90.30,Medium,6.90,High,104.37,Medium,pomegranate,,,,,,,,,,,,
25,Low,17,Low,40,Medium,18.91,Low,87.75,Medium,6.61,High,111.28,Medium,pomegranate,,,,,,,,,,,,
8,Low,25,Low,36,Medium,19.91,Low,94.95,High,6.83,High,104.03,Medium,pomegranate,,,,,,,,,,,,
26,Low,18,Low,42,Medium,19.73,Low,89.65,Medium,6.91,High,108.23,Medium,pomegranate,,,,,,,,,,,,
4,Low,19,Low,42,Medium,23.83,Medium,87.84,Medium,6.31,Medium,111.22,Medium,pomegranate,,,,,,,,,,,,
36,Medium,24,Low,41,Medium,24.94,Medium,94.26,High,7.01,High,103.88,Medium,pomegranate,,,,,,,,,,,,
5,Low,24,Low,40,Medium,24.69,Medium,93.87,High,6.30,Medium,104.67,Medium,pomegranate,,,,,,,,,,,,
19,Low,17,Low,39,Medium,24.72,Medium,85.56,Medium,6.73,High,111.28,Medium,pomegranate,,,,,,,,,,,,
39,Medium,30,Medium,38,Medium,20.13,Low,87.60,Medium,6.97,High,108.07,Medium,pomegranate,,,,,,,,,,,,
5,Low,29,Medium,44,Medium,21.02,Low,93.06,High,5.58,Low,104.78,Medium,pomegranate,,,,,,,,,,,,
4,Low,24,Low,43,Medium,22.40,Low,88.15,Medium,7.20,High,109.87,Medium,pomegranate,,,,,,,,,,,,
38,Medium,21,Low,35,Medium,20.34,Low,89.38,Medium,5.84,Low,110.97,Medium,pomegranate,,,,,,,,,,,,
37,Medium,11,Low,36,Medium,24.25,Medium,85.56,Medium,6.71,High,106.92,Medium,pomegranate,,,,,,,,,,,,
9,Low,25,Low,41,Medium,24.82,Medium,91.91,High,5.97,Low,109.29,Medium,pomegranate,,,,,,,,,,,,
29,Low,22,Low,43,Medium,19.66,Low,87.95,Medium,5.56,Low,106.04,Medium,pomegranate,,,,,,,,,,,,
5,Low,21,Low,38,Medium,22.43,Low,90.34,Medium,6.11,Low,112.46,Medium,pomegranate,,,,,,,,,,,,
22,Low,26,Medium,38,Medium,22.92,Low,85.13,Medium,6.99,High,110.24,Medium,pomegranate,,,,,,,,,,,,
4,Low,18,Low,37,Medium,22.92,Low,85.41,Medium,7.13,High,106.28,Medium,pomegranate,,,,,,,,,,,,
21,Low,6,Low,41,Medium,24.88,Medium,89.40,Medium,7.09,High,107.20,Medium,pomegranate,,,,,,,,,,,,
29,Low,21,Low,45,Medium,23.41,Medium,93.13,High,6.75,High,105.22,Medium,pomegranate,,,,,,,,,,,,
23,Low,5,Low,44,Medium,21.21,Low,94.26,High,7.16,High,107.57,Medium,pomegranate,,,,,,,,,,,,
13,Low,7,Low,43,Medium,18.20,Low,91.12,High,7.01,High,109.66,Medium,pomegranate,,,,,,,,,,,,
5,Low,13,Low,37,Medium,22.34,Low,89.79,Medium,5.65,Low,103.32,Medium,pomegranate,,,,,,,,,,,,
27,Low,24,Low,41,Medium,24.33,Medium,90.88,High,6.61,High,110.46,Medium,pomegranate,,,,,,,,,,,,
7,Low,23,Low,35,Medium,19.75,Low,88.72,Medium,7.05,High,102.55,Medium,pomegranate,,,,,,,,,,,,
12,Low,20,Low,39,Medium,19.86,Low,86.20,Medium,6.03,Low,111.02,Medium,pomegranate,,,,,,,,,,,,
4,Low,19,Low,43,Medium,18.07,Low,93.15,High,5.78,Low,106.36,Medium,pomegranate,,,,,,,,,,,,
3,Low,9,Low,45,Medium,23.89,Medium,89.62,Medium,6.54,Medium,104.62,Medium,pomegranate,,,,,,,,,,,,
1,Low,27,Medium,36,Medium,23.99,Medium,93.34,High,5.68,Low,104.99,Medium,pomegranate,,,,,,,,,,,,
23,Low,30,Medium,44,Medium,20.94,Low,85.43,Medium,6.12,Medium,103.03,Medium,pomegranate,,,,,,,,,,,,
24,Low,21,Low,42,Medium,20.82,Low,87.23,Medium,7.00,High,109.44,Medium,pomegranate,,,,,,,,,,,,
13,Low,30,Medium,37,Medium,20.86,Low,91.62,High,6.28,Medium,106.87,Medium,pomegranate,,,,,,,,,,,,
40,Medium,11,Low,44,Medium,24.46,Medium,86.11,Medium,6.32,Medium,111.38,Medium,pomegranate,,,,,,,,,,,,
21,Low,9,Low,40,Medium,24.51,Medium,90.64,Medium,5.96,Low,105.62,Medium,pomegranate,,,,,,,,,,,,
3,Low,27,Medium,44,Medium,24.57,Medium,92.03,High,6.59,High,110.96,Medium,pomegranate,,,,,,,,,,,,
40,Medium,29,Medium,42,Medium,24.63,Medium,89.02,Medium,7.10,High,110.70,Medium,pomegranate,,,,,,,,,,,,
14,Low,25,Low,40,Medium,20.07,Low,90.98,High,6.41,Medium,103.71,Medium,pomegranate,,,,,,,,,,,,
38,Medium,14,Low,37,Medium,21.81,Low,94.64,High,6.66,High,102.65,Medium,pomegranate,,,,,,,,,,,,
34,Medium,9,Low,36,Medium,22.81,Low,86.34,Medium,6.28,Medium,110.44,Medium,pomegranate,,,,,,,,,,,,
32,Medium,14,Low,37,Medium,22.73,Low,88.49,Medium,6.83,High,104.68,Medium,pomegranate,,,,,,,,,,,,
18,Low,21,Low,35,Medium,23.28,Low,94.94,High,6.37,Medium,111.14,Medium,pomegranate,,,,,,,,,,,,
8,Low,23,Low,38,Medium,19.30,Low,87.18,Medium,7.01,High,105.48,Medium,pomegranate,,,,,,,,,,,,
15,Low,6,Low,41,Medium,19.01,Low,88.84,Medium,6.90,High,108.68,Medium,pomegranate,,,,,,,,,,,,
0,Low,5,Low,36,Medium,24.35,Medium,90.89,High,6.15,Medium,105.53,Medium,pomegranate,,,,,,,,,,,,
22,Low,9,Low,44,Medium,24.72,Medium,88.88,Medium,5.74,Low,112.19,Medium,pomegranate,,,,,,,,,,,,
14,Low,8,Low,43,Medium,21.93,Low,94.46,High,7.05,High,111.72,Medium,pomegranate,,,,,,,,,,,,
31,Low,11,Low,45,Medium,24.84,Medium,86.89,Medium,6.03,Low,107.64,Medium,pomegranate,,,,,,,,,,,,
39,Medium,17,Low,45,Medium,18.10,Low,90.42,Medium,6.92,High,104.88,Medium,pomegranate,,,,,,,,,,,,
10,Low,5,Low,42,Medium,20.24,Low,91.09,High,6.89,High,109.25,Medium,pomegranate,,,,,,,,,,,,
8,Low,28,Medium,38,Medium,23.23,Low,94.43,High,6.84,High,105.69,Medium,pomegranate,,,,,,,,,,,,
32,Medium,13,Low,42,Medium,23.50,Medium,92.98,High,5.79,Low,106.62,Medium,pomegranate,,,,,,,,,,,,
18,Low,9,Low,40,Medium,19.45,Low,89.02,Medium,5.63,Low,106.16,Medium,pomegranate,,,,,,,,,,,,
20,Low,27,Medium,41,Medium,20.51,Low,92.52,High,5.70,Low,110.58,Medium,pomegranate,,,,,,,,,,,,
39,Medium,25,Low,36,Medium,18.90,Low,95.00,High,5.57,Low,107.61,Medium,pomegranate,,,,,,,,,,,,
20,Low,7,Low,45,Medium,18.91,Low,89.24,Medium,6.08,Low,112.48,Medium,pomegranate,,,,,,,,,,,,
11,Low,10,Low,45,Medium,22.63,Low,88.46,Medium,6.40,Medium,109.04,Medium,pomegranate,,,,,,,,,,,,
40,Medium,18,Low,43,Medium,19.39,Low,86.79,Medium,5.77,Low,109.91,Medium,pomegranate,,,,,,,,,,,,
3,Low,26,Medium,39,Medium,24.38,Medium,91.19,High,7.08,High,103.60,Medium,pomegranate,,,,,,,,,,,,
9,Low,16,Low,36,Medium,23.78,Medium,92.93,High,5.89,Low,106.98,Medium,pomegranate,,,,,,,,,,,,
30,Low,20,Low,38,Medium,22.60,Low,93.16,High,7.06,High,110.09,Medium,pomegranate,,,,,,,,,,,,
40,Medium,9,Low,41,Medium,24.38,Medium,85.40,Medium,5.78,Low,106.13,Medium,pomegranate,,,,,,,,,,,,
40,Medium,30,Medium,35,Medium,20.89,Low,91.08,High,6.27,Medium,104.44,Medium,pomegranate,,,,,,,,,,,,
32,Medium,25,Low,35,Medium,18.10,Low,85.71,Medium,5.89,Low,107.01,Medium,pomegranate,,,,,,,,,,,,
33,Medium,23,Low,45,Medium,20.00,Low,85.84,Medium,7.12,High,112.34,Medium,pomegranate,,,,,,,,,,,,
4,Low,14,Low,41,Medium,19.85,Low,89.81,Medium,6.43,Medium,102.82,Medium,pomegranate,,,,,,,,,,,,
13,Low,17,Low,45,Medium,21.25,Low,92.65,High,7.16,High,106.28,Medium,pomegranate,,,,,,,,,,,,
39,Medium,24,Low,39,Medium,23.65,Medium,93.33,High,6.43,Medium,109.81,Medium,pomegranate,,,,,,,,,,,,
8,Low,28,Medium,37,Medium,23.88,Medium,86.21,Medium,6.08,Low,108.31,Medium,pomegranate,,,,,,,,,,,,
91,High,94,High,46,Medium,29.37,High,76.25,Low,6.15,Medium,92.83,Medium,banana,,,,,,,,,,,,
105,High,95,High,50,Medium,27.33,High,83.68,Medium,5.85,Low,101.05,Medium,banana,,,,,,,,,,,,
108,High,92,High,53,High,27.40,High,82.96,Medium,6.28,Medium,104.94,Medium,banana,,,,,,,,,,,,
86,High,76,High,54,High,29.32,High,80.12,Low,5.93,Low,90.11,Medium,banana,,,,,,,,,,,,
80,High,77,High,49,Medium,26.05,Medium,79.40,Low,5.52,Low,113.23,High,banana,,,,,,,,,,,,
93,High,94,High,53,High,25.87,Medium,84.42,Medium,6.08,Low,114.54,High,banana,,,,,,,,,,,,
90,High,92,High,55,High,27.01,Medium,80.19,Medium,6.13,Medium,97.33,Medium,banana,,,,,,,,,,,,
108,High,89,High,53,High,29.55,High,78.07,Low,5.81,Low,99.34,Medium,banana,,,,,,,,,,,,
108,High,88,High,55,High,26.29,Medium,83.39,Medium,5.89,Low,113.87,High,banana,,,,,,,,,,,,
105,High,77,High,52,High,29.16,High,76.16,Low,5.82,Low,100.01,Medium,banana,,,,,,,,,,,,
118,High,88,High,52,High,28.65,High,82.69,Medium,5.84,Low,98.75,Medium,banana,,,,,,,,,,,,
101,High,87,High,54,High,29.07,High,76.50,Low,6.38,Medium,100.17,Medium,banana,,,,,,,,,,,,
95,High,75,High,50,Medium,28.08,High,75.26,Low,5.62,Low,118.28,High,banana,,,,,,,,,,,,
106,High,85,High,53,High,27.20,High,78.81,Low,5.92,Low,99.72,Medium,banana,,,,,,,,,,,,
86,High,95,High,49,Medium,28.05,High,78.05,Low,6.46,Medium,108.40,Medium,banana,,,,,,,,,,,,
83,High,79,High,55,High,25.15,Medium,83.35,Medium,5.57,Low,98.67,Medium,banana,,,,,,,,,,,,
85,High,95,High,47,Medium,25.94,Medium,78.34,Low,6.21,Medium,119.85,High,banana,,,,,,,,,,,,
109,High,79,High,45,Medium,27.67,High,79.69,Low,6.49,Medium,108.66,Medium,banana,,,,,,,,,,,,
100,High,76,High,45,Medium,25.57,Medium,75.94,Low,5.59,Low,102.79,Medium,banana,,,,,,,,,,,,
117,High,86,High,48,Medium,28.70,High,82.54,Medium,6.23,Medium,116.16,High,banana,,,,,,,,,,,,
114,High,94,High,53,High,26.34,Medium,76.85,Low,6.19,Medium,118.69,High,banana,,,,,,,,,,,,
110,High,78,High,50,Medium,25.94,Medium,78.90,Low,5.92,Low,98.22,Medium,banana,,,,,,,,,,,,
94,High,70,High,48,Medium,25.14,Medium,84.88,Medium,6.20,Medium,91.46,Medium,banana,,,,,,,,,,,,
80,High,71,High,47,Medium,27.51,High,80.80,Medium,6.16,Medium,105.08,Medium,banana,,,,,,,,,,,,
114,High,79,High,51,Medium,26.21,Medium,82.34,Medium,6.31,Medium,112.07,Medium,banana,,,,,,,,,,,,
88,High,78,High,45,Medium,29.10,High,79.20,Low,6.32,Medium,92.08,Medium,banana,,,,,,,,,,,,
112,High,73,High,48,Medium,29.24,High,77.32,Low,5.71,Low,90.67,Medium,banana,,,,,,,,,,,,
117,High,76,High,47,Medium,25.56,Medium,77.38,Low,6.12,Medium,93.10,Medium,banana,,,,,,,,,,,,
111,High,87,High,48,Medium,26.40,Medium,81.36,Medium,5.57,Low,98.17,Medium,banana,,,,,,,,,,,,
89,High,83,High,47,Medium,28.10,High,77.80,Low,5.63,Low,109.54,Medium,banana,,,,,,,,,,,,
93,High,91,High,47,Medium,27.85,High,83.31,Medium,6.10,Low,117.29,High,banana,,,,,,,,,,,,
92,High,81,High,52,High,27.39,High,81.47,Medium,6.44,Medium,94.31,Medium,banana,,,,,,,,,,,,
105,High,74,High,45,Medium,25.15,Medium,81.38,Medium,6.10,Low,119.22,High,banana,,,,,,,,,,,,
102,High,71,High,48,Medium,28.65,High,79.29,Low,5.70,Low,102.46,Medium,banana,,,,,,,,,,,,
94,High,91,High,51,Medium,29.16,High,76.67,Low,5.62,Low,109.58,Medium,banana,,,,,,,,,,,,
116,High,71,High,47,Medium,27.57,High,82.06,Medium,6.44,Medium,91.34,Medium,banana,,,,,,,,,,,,
117,High,79,High,49,Medium,25.41,Medium,82.36,Medium,6.18,Medium,112.98,High,banana,,,,,,,,,,,,
119,High,72,High,55,High,25.99,Medium,83.34,Medium,6.22,Medium,112.08,Medium,banana,,,,,,,,,,,,
99,High,73,High,53,High,26.29,Medium,81.06,Medium,5.87,Low,118.67,High,banana,,,,,,,,,,,,
91,High,84,High,52,High,29.15,High,78.71,Low,6.39,Medium,117.54,High,banana,,,,,,,,,,,,
80,High,90,High,47,Medium,26.60,Medium,79.36,Low,6.21,Medium,107.39,Medium,banana,,,,,,,,,,,,
101,High,70,High,48,Medium,25.36,Medium,75.03,Low,6.01,Low,116.55,High,banana,,,,,,,,,,,,
108,High,89,High,53,High,29.12,High,80.18,Low,5.91,Low,112.40,Medium,banana,,,,,,,,,,,,
100,High,80,High,52,High,27.54,High,77.26,Low,6.05,Low,110.33,Medium,banana,,,,,,,,,,,,
109,High,91,High,53,High,29.67,High,83.51,Medium,6.01,Low,110.25,Medium,banana,,,,,,,,,,,,
82,High,78,High,46,Medium,25.06,Medium,84.97,Medium,5.74,Low,110.44,Medium,banana,,,,,,,,,,,,
106,High,70,High,55,High,25.87,Medium,78.52,Low,5.74,Low,116.30,High,banana,,,,,,,,,,,,
90,High,86,High,52,High,25.85,Medium,81.96,Medium,5.79,Low,119.09,High,banana,,,,,,,,,,,,
83,High,95,High,50,Medium,26.52,Medium,77.80,Low,5.51,Low,108.85,Medium,banana,,,,,,,,,,,,
119,High,90,High,48,Medium,28.67,High,79.59,Low,5.99,Low,118.26,High,banana,,,,,,,,,,,,
107,High,72,High,45,Medium,28.15,High,81.54,Medium,5.79,Low,91.41,Medium,banana,,,,,,,,,,,,
116,High,81,High,55,High,26.42,Medium,83.70,Medium,5.92,Low,95.12,Medium,banana,,,,,,,,,,,,
101,High,75,High,50,Medium,26.59,Medium,81.41,Medium,6.24,Medium,109.98,Medium,banana,,,,,,,,,,,,
93,High,81,High,50,Medium,27.72,High,76.58,Low,6.04,Low,102.21,Medium,banana,,,,,,,,,,,,
95,High,75,High,45,Medium,28.98,High,82.96,Medium,5.83,Low,109.02,Medium,banana,,,,,,,,,,,,
107,High,71,High,55,High,29.42,High,83.97,Medium,6.09,Low,117.23,High,banana,,,,,,,,,,,,
83,High,94,High,47,Medium,27.40,High,81.11,Medium,6.47,Medium,112.14,Medium,banana,,,,,,,,,,,,
